,word,count
0,analytics,86
1,process,84
2,business,50
3,first,39
4,insight,23
5,data,22
6,organization,21
7,transformation,17
8,use,17
9,approach,17
10,sap,17
11,shana,17
12,endtoend,16
13,platform,15
14,kpi,15
15,intelligence,14
16,time,14
17,future,13
18,based,12
19,intelligent,11
