,word,count
0,data,314
1,big,149
2,analytics,83
3,decision,44
4,well,39
5,analysis,32
6,tool,26
7,storage,25
8,management,23
9,information,22
10,different,22
11,making,22
12,used,22
13,order,21
14,social,21
15,organization,21
16,customer,20
17,processing,20
18,need,19
19,method,18
