,word,count
0,data,100
1,market,79
2,trading,79
3,strategy,58
4,factor,54
5,order,53
6,risk,49
7,asset,46
8,chapter,43
9,price,39
10,fund,37
11,return,37
12,ml,34
13,investment,31
14,also,29
15,use,28
16,ha,27
17,trade,27
18,source,26
19,model,25
