,word,count
0,data,370
1,analytics,177
2,big,151
3,process,112
4,business,60
5,decision,54
6,first,45
7,organization,43
8,well,42
9,analysis,38
10,tool,33
11,insight,32
12,order,32
13,management,31
14,need,30
15,work,29
16,new,29
17,information,28
18,time,27
19,provide,26
