,word,count
0,data,34
1,work,23
2,process,11
3,wa,11
4,need,10
5,team,9
6,analytics,8
7,decision,7
8,better,6
9,product,6
10,still,6
11,new,5
12,last,5
13,alignment,5
14,objective,5
15,even,5
16,way,5
17,speed,4
18,decade,4
19,weve,4
